Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
INVALIDSKO PODJETJE POSOČJE d.o.o.,INVALIDSKO PODJETJE POSOČJE d.o.o.,,"Poljubinj 89 C, 5220 Tolmin",", INVALIDSKO PODJETJE POSOČJE d.o.o."
"POSAVC storitve, trgovina in posredovanje d.o.o.","POSAVC storitve, trgovina in posredovanje d.o.o.",,"Levstikova ulica 2 A, 8250 Brežice",", POSAVC storitve, trgovina in posredovanje d.o.o."
Implantološki center d.o.o.,Implantološki center d.o.o.,,"Mlaška cesta 109, 4000 Kranj",", Implantološki center d.o.o."
"FARMADENT trgovina, proizvodnja in storitve d.o.o.","FARMADENT trgovina, proizvodnja in storitve d.o.o.",,"Minařikova ulica 6, 2000 Maribor",", FARMADENT trgovina, proizvodnja in storitve d.o.o."
RRA SEVERNE PRIMORSKE Regijska razvojna agencija d.o.o. Nova Gorica,RRA SEVERNE PRIMORSKE Regijska razvojna agencija d.o.o. Nova Gorica,,"Trg Edvarda Kardelja 3, 5000 Nova Gorica",", RRA SEVERNE PRIMORSKE Regijska razvojna agencija d.o.o. Nova Gorica"
OZARA storitveno in invalidsko podjetje d.o.o.,OZARA storitveno in invalidsko podjetje d.o.o.,,"Ulica heroja Šaranoviča 27, 2000 Maribor",", OZARA storitveno in invalidsko podjetje d.o.o."
MS SERVIS Posredovanje d.o.o.,MS SERVIS Posredovanje d.o.o.,,"Mestni trg 7, 3210 Slovenske Konjice",", MS SERVIS Posredovanje d.o.o."
"GEOENERGO, raziskave in pridobivanje surove nafte in zemeljskega plina d.o.o.","GEOENERGO, raziskave in pridobivanje surove nafte in zemeljskega plina d.o.o.",,"Mlinska ulica 5, 9220 Lendava - Lendva",", GEOENERGO, raziskave in pridobivanje surove nafte in zemeljskega plina d.o.o."
"NEPREMIČNINE CELJE, upravljanje, gospodarjenje in trgovanje z nepremičninami d.o.o.","NEPREMIČNINE CELJE, upravljanje, gospodarjenje in trgovanje z nepremičninami d.o.o.",,"Miklošičeva ulica 1, 3000 Celje",", NEPREMIČNINE CELJE, upravljanje, gospodarjenje in trgovanje z nepremičninami d.o.o."
"HTZ Harmonija tehnologije in znanja, invalidsko podjetje, d.o.o. Velenje","HTZ Harmonija tehnologije in znanja, invalidsko podjetje, d.o.o. Velenje",,"Partizanska cesta 78, 3320 Velenje",", HTZ Harmonija tehnologije in znanja, invalidsko podjetje, d.o.o. Velenje"
