Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"ISKRAEMECO, merjenje in upravljanje energije, d.d.","ISKRAEMECO, merjenje in upravljanje energije, d.d.",,"Savska loka 4, 4000 Kranj",", ISKRAEMECO, merjenje in upravljanje energije, d.d."
LOVSKA DRUŽINA DOLIČ,LOVSKA DRUŽINA DOLIČ,,"Srednji Dolič 1, 2382 Mislinja",", LOVSKA DRUŽINA DOLIČ"
RIBIŠKA DRUŽINA RADGONA,RIBIŠKA DRUŽINA RADGONA,,"Podgrad 41, 9250 Gornja Radgona",", RIBIŠKA DRUŽINA RADGONA"
Inštitut za varstvo pri delu in varstvo okolja Maribor,Inštitut za varstvo pri delu in varstvo okolja Maribor,,"Valvasorjeva ulica 73, 2000 Maribor",", Inštitut za varstvo pri delu in varstvo okolja Maribor"
ZVD Zavod za varstvo pri delu d.o.o.,ZVD Zavod za varstvo pri delu d.o.o.,,"Chengdujska cesta 25, 1260 Ljubljana - Polje",", ZVD Zavod za varstvo pri delu d.o.o."
LOVSKA DRUŽINA IZOLA,LOVSKA DRUŽINA IZOLA,,"Baredi 20, 6310 Izola - Isola",", LOVSKA DRUŽINA IZOLA"
RIBIŠKA DRUŽINA STRAŽA-SAVA,RIBIŠKA DRUŽINA STRAŽA-SAVA,,"Spodnje Gameljne 62, 1211 Ljubljana - Šmartno",", RIBIŠKA DRUŽINA STRAŽA-SAVA"
LOVSKA DRUŽINA ISTRA GRAČIŠČE,LOVSKA DRUŽINA ISTRA GRAČIŠČE,,"Trebeše 40, 6272 Gračišče",", LOVSKA DRUŽINA ISTRA GRAČIŠČE"
LOVSKA DRUŽINA TRSTELJ,LOVSKA DRUŽINA TRSTELJ,,"Kostanjevica na Krasu 28, 5296 Kostanjevica na Krasu",", LOVSKA DRUŽINA TRSTELJ"
LOVSKA DRUŽINA HUM CELJE,LOVSKA DRUŽINA HUM CELJE,,"Maistrova ulica 30, 3000 Celje",", LOVSKA DRUŽINA HUM CELJE"
LOVSKA DRUŽINA KOBARID,LOVSKA DRUŽINA KOBARID,,"Gregorčičeva ulica 63, 5222 Kobarid",", LOVSKA DRUŽINA KOBARID"
Lovska družina Ptuj,Lovska družina Ptuj,,"Sela 37, 2288 Hajdina",", Lovska družina Ptuj"
Lovska družina Hoče,Lovska družina Hoče,,"Hočko Pohorje 49, 2311 Hoče",", Lovska družina Hoče"
LOVSKA DRUŽINA SVETA ANA,LOVSKA DRUŽINA SVETA ANA,,"Sv. Ana v Slov. goricah 27, 2233 Sv. Ana v Slov. goricah",", LOVSKA DRUŽINA SVETA ANA"
Lovska družina Stoperce,Lovska družina Stoperce,,"Stoperce 13 D, 2289 Stoperce",", Lovska družina Stoperce"
LOVSKA DRUŽINA MIRNA,LOVSKA DRUŽINA MIRNA,,"Zapuže 23, 8233 Mirna",", LOVSKA DRUŽINA MIRNA"
LOVSKA DRUŽINA SENOVO,LOVSKA DRUŽINA SENOVO,,"Brezje pri Dovškem 33 A, 8281 Senovo",", LOVSKA DRUŽINA SENOVO"
LOVSKA DRUŽINA MENGEŠ,LOVSKA DRUŽINA MENGEŠ,,"Ropretova cesta 36 A, 1234 Mengeš",", LOVSKA DRUŽINA MENGEŠ"
LOVSKA DRUŽINA HORJUL,LOVSKA DRUŽINA HORJUL,,"Zaklanec 22 A, 1354 Horjul",", LOVSKA DRUŽINA HORJUL"
LOVSKA DRUŽINA JAKOB,LOVSKA DRUŽINA JAKOB,,"Zgornji Jakobski Dol 7, 2222 Jakobski dol",", LOVSKA DRUŽINA JAKOB"
Lovska družina Jože Lacko Ptuj,Lovska družina Jože Lacko Ptuj,,"Spuhlja 33 B, 2250 Ptuj",", Lovska družina Jože Lacko Ptuj"
LOVSKA DRUŽINA MORAVČE,LOVSKA DRUŽINA MORAVČE,,"Detelova cesta 20, 1251 Moravče",", LOVSKA DRUŽINA MORAVČE"
LOVSKA DRUŽINA SORŠKO POLJE,LOVSKA DRUŽINA SORŠKO POLJE,,"Meja 10, 4211 Mavčiče",", LOVSKA DRUŽINA SORŠKO POLJE"
RIBIŠKA DRUŽINA MEDVODE,RIBIŠKA DRUŽINA MEDVODE,,"Šmartno 90, 1211 Ljubljana - Šmartno",", RIBIŠKA DRUŽINA MEDVODE"
LOVSKA DRUŽINA PUGLED,LOVSKA DRUŽINA PUGLED,,"Vidergarjeva ulica 13, 1261 Ljubljana - Dobrunje",", LOVSKA DRUŽINA PUGLED"
