Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
VP RADLJE OB DRAVI veterinarska postaja d.o.o.,VP RADLJE OB DRAVI veterinarska postaja d.o.o.,,"Koroška cesta 49, 2360 Radlje ob Dravi",", VP RADLJE OB DRAVI veterinarska postaja d.o.o."
VP SLOVENJ GRADEC veterinarska postaja d.o.o.,VP SLOVENJ GRADEC veterinarska postaja d.o.o.,,"Celjska cesta 126, 2380 Slovenj Gradec",", VP SLOVENJ GRADEC veterinarska postaja d.o.o."
"FAKULTETA ZA UPRAVLJANJE, POSLOVANJE IN INFORMATIKO NOVO MESTO","FAKULTETA ZA UPRAVLJANJE, POSLOVANJE IN INFORMATIKO NOVO MESTO",,"Na Loko 2, 8000 Novo mesto",", FAKULTETA ZA UPRAVLJANJE, POSLOVANJE IN INFORMATIKO NOVO MESTO"
VETERINA NOVO MESTO d.o.o.,VETERINA NOVO MESTO d.o.o.,,"Šmarješka cesta 2, 8000 Novo mesto",", VETERINA NOVO MESTO d.o.o."
VETERINARSKA POSTAJA TREBNJE d.o.o.,VETERINARSKA POSTAJA TREBNJE d.o.o.,,"Pekel 8, 8210 Trebnje",", VETERINARSKA POSTAJA TREBNJE d.o.o."
"ZASEBNA AMBULANTA SPLOŠNE MEDICINE TANJA PTIČAR, DR.MED.","ZASEBNA AMBULANTA SPLOŠNE MEDICINE TANJA PTIČAR, DR.MED.",,"Ponoviška cesta 6, 1270 Litija",", ZASEBNA AMBULANTA SPLOŠNE MEDICINE TANJA PTIČAR, DR.MED."
TRČEK VALERIJA - FIZIOTERAPIJA,TRČEK VALERIJA - FIZIOTERAPIJA,,"Ulica Mire Pregljeve 1, 1270 Litija",", TRČEK VALERIJA - FIZIOTERAPIJA"
"ZASEBNA AMBULANTA SPLOŠNE MEDICINE STANE PTIČAR, DR.MED.","ZASEBNA AMBULANTA SPLOŠNE MEDICINE STANE PTIČAR, DR.MED.",,"Ponoviška cesta 6, 1270 Litija",", ZASEBNA AMBULANTA SPLOŠNE MEDICINE STANE PTIČAR, DR.MED."
DIKIĆ KRSTINIĆ SNEŽANA - ZOBOZDRAVSTVO ODRASLIH,DIKIĆ KRSTINIĆ SNEŽANA - ZOBOZDRAVSTVO ODRASLIH,,"Partizanska pot 8 A, 1270 Litija",", DIKIĆ KRSTINIĆ SNEŽANA - ZOBOZDRAVSTVO ODRASLIH"
KRSTINIĆ GORAN - ZOBOZDRAVSTVO ODRASLIH,KRSTINIĆ GORAN - ZOBOZDRAVSTVO ODRASLIH,,"Partizanska pot 8 A, 1270 Litija",", KRSTINIĆ GORAN - ZOBOZDRAVSTVO ODRASLIH"
"DIAGNOZA veterinarska ambulanta, d.o.o.","DIAGNOZA veterinarska ambulanta, d.o.o.",,"Vodnikova cesta 243, 1000 Ljubljana",", DIAGNOZA veterinarska ambulanta, d.o.o."
"ARISTOTEL, zdravstveni center d.o.o.","ARISTOTEL, zdravstveni center d.o.o.",,"Ulica Ilije Gregoriča 18 A, 8270 Krško",", ARISTOTEL, zdravstveni center d.o.o."
